count,hate_speech,offensive_language,neither,class,tweet,tweet_length,cleaned_tweet,preprocessed_tweet,label
3,0,3,0,Offensive Language,If you will fuck or try and fuck ya niccas girl .. You a buster lol,67,if you will fuck or try and fuck ya niccas girl you a buster lol,fuck try fuck ya niccas girl buster lol,1
3,0,2,1,Offensive Language,RT @MandylouGraham: We put a redneck in the White House it's gonna be the camo house. @Moccasin_Creek &#128521;&#128514;,120,we put a redneck in the white house its going to be the camo house,put redneck white house going camo house,1
3,0,3,0,Offensive Language,RT @FriendlyAssh0le: Hoes will be hoes.,39,hoes will be hoes,hoe hoe,1
3,0,3,0,Offensive Language,RT @YBeJeff: When you ate the pussy but yeen think she was gone tell anybody&#128555;&#128555; http://t.co/WgIHekh5qb,117,when you ate the pussy but yeen think she was gone tell anybody,ate pussy yeen think gone tell anybody,1
3,0,3,0,Offensive Language,Greinke you sneaky son of a bitch you,37,greinke you sneaky son of a bitch you,greinke sneaky son bitch,1
3,2,1,0,Hate Speech,RT @JEN_JEN_2014: My old man has a white galaxy phone cuz he's a fag.,69,my old man has a white galaxy phone cuz hes a fag,old man white galaxy phone cuz he fag,0
3,0,3,0,Offensive Language,RT @VadeFisse_: dont try too fuck with me &amp; got a million and TWO bitches because I will tell them all.. I PROMISE I WILL,125,dont try too fuck with me amp got a million and two bitches because i will tell them all i promise i will,dont try fuck amp got million two bitch tell promise,1
3,1,2,0,Offensive Language,@jusfinlbieber honestly fuck whoever agreed with this bitch ass nigga your never going to get to tupac level,108,honestly fuck whoever agreed with this bitch ass nigga your never going to get to tupac level,honestly fuck whoever agreed bitch as nigga never going get tupac level,1
3,1,2,0,Offensive Language,"@etellurian @vcortesusmc too many little whiney bitches in AMERICA. 
Someone to CRY about ANYTHING! 
IE: Kids MUST WEAR Bicycle Helmets!",136,too many little whiney bitches in america someone to cry about anything ie kids must wear bicycle helmets,many little whiney bitch america someone cry anything ie kid must wear bicycle helmet,1
3,0,3,0,Offensive Language,@LlishaH LOL! It's an acronym for: that hoe over there.,55,lol its an acronym for that hoe over there,lol acronym hoe,1
3,0,3,0,Offensive Language,"RT @Miss_EmilyAnne: Good pussy&#128049;&#128166;
Is like a drug&#128138;&#128553;&#128079;",90,good pussy is like a drug,good pussy like drug,1
3,2,1,0,Hate Speech,RT @imDOPE_GetHigh: @Whackko man some lame niggah when I find him I'm unfollowing TF out his ass!,97,man some lame niggah when i find him im unfollowing tf out his ass,man lame niggah find im unfollowing tf as,0
3,3,0,0,Hate Speech,Fucking hate my coon ahh uncle,30,fucking hate my coon ahh uncle,fucking hate coon ahh uncle,0
3,0,3,0,Offensive Language,car anxiety is a bitch.,23,car anxiety is a bitch,car anxiety bitch,1
3,0,0,3,Neither,*rubs hands like bird man,25,rubs hands like bird man,rub hand like bird man,2
3,0,3,0,Offensive Language,call me bitch @GlitteredInPink,30,call me bitch,call bitch,1
3,0,3,0,Offensive Language,This chick looks like she straight up took a colored pencil to her eyebrows #thatshitdoesntlookgood,99,this chick looks like she straight up took a colored pencil to her eyebrows thatshitdoesntlookgood,chick look like straight took colored pencil eyebrow thatshitdoesntlookgood,1
3,0,1,2,Neither,&#8220;@Tom_2Times: Making weed brownies tonight&#8221; goin slide me a batch relo,82,making weed brownies tonight goin slide me a batch relo,making weed brownie tonight goin slide batch relo,2
3,0,3,0,Offensive Language,This bitch instating and driving...&#128591; for me,51,this bitch instating and driving for me,bitch instating driving,1
3,1,2,0,Offensive Language,"Maybe I'm the one, maybe I'm the two, maybe I'm the nigguh that you call when you're through.",93,maybe im the one maybe im the two maybe im the nigguh that you call when youre through,maybe im one maybe im two maybe im nigguh call youre,1
3,1,2,0,Offensive Language,"Blunt to the head, fuck Feds, I eat pussy till my tongue red",60,blunt to the head fuck feds i eat pussy till my tongue red,blunt head fuck fed eat pussy till tongue red,1
3,0,0,3,Neither,"@almuirSI Probably, yeah. By most accounts, he has the personality to handle it though. And he can wear a yellow suit if he puts up points.",139,probably yeah by most accounts he has the personality to handle it though and he can wear a yellow suit if he puts up points,probably yeah account personality handle though wear yellow suit put point,2
3,0,3,0,Offensive Language,RT @HtOwNzOuTLaW713: Keshawn Martin is soooooooooo fucking trash!!!,67,keshawn martin is soooooooooo fucking trash,keshawn martin soooooooooo fucking trash,1
3,0,3,0,Offensive Language,"RT @NotoriousB_l_G: Girlfriend = FaSho pussy.. Ho = Some mo pussy.. Dont lose your FaSho pussy, tryna get Some mo pussy, &amp; end up with NO P&#8230;",150,girlfriend fasho pussy ho some mo pussy dont lose your fasho pussy tryna get some mo pussy amp end up with no p,girlfriend fasho pussy ho mo pussy dont lose fasho pussy tryna get mo pussy amp end p,1
3,0,3,0,Offensive Language,"RT @erdikken: Where are They Now Fads 
Doc Martens -enjoying anal sex 
Girbaud -Posers, wiggers, fake bangers. Now accountants
Jncos -Domin&#8230;",146,where are they now fads doc martens enjoying anal sex girbaud posers wiggers fake bangers now accountants jncos domin,fad doc marten enjoying anal sex girbaud poser wiggers fake banger accountant jncos domin,1
3,1,2,0,Offensive Language,@Ch4BrickTamland @Ch4BrianFantana yes because I too want to be fat and have a fat bitch wife,92,yes because i too want to be fat and have a fat bitch wife,yes want fat fat bitch wife,1
3,2,1,0,Hate Speech,@joeylattime @Mawson38 @ameriC00N thats just me rooting against a team I hate not banwagoning u retard u have a different favorite,130,thats just me rooting against a team i hate not banwagoning u retard u have a different favorite,thats rooting team hate banwagoning u retard u different favorite,0
3,0,3,0,Offensive Language,&#8220;@annijohnesce: @100046729 grow up bitch &#128514;&#128514;&#128514;&#128514;&#8221; &#128514;&#128514;&#128514;&#128128; they was cute &#128514;&#128514;&#128514;&#128514;&#128514;&#128514;,196,grow up bitch they was cute,grow bitch cute,1
3,0,3,0,Offensive Language,@piersmorgan house keeps passing CR's senate says no because harry ried is obamas bitch.. not his states who does the senators represent?,137,house keeps passing crs senate says no because harry ried is obamas bitch not his states who does the senators represent,house keep passing cr senate say harry ried obamas bitch state senator represent,1
3,0,3,0,Offensive Language,These girls eyebrows make them look like 2$ hoes walking down FIB,65,these girls eyebrows make them look like hoes walking down fib,girl eyebrow make look like hoe walking fib,1
3,0,3,0,Offensive Language,RT @EastSideKris: I'm glad Bey did this shit....now some of u bitches wit that one shaved side can go ahead &amp; shave that other side too....,143,im glad bey did this shitnow some of u bitches wit that one shaved side can go ahead amp shave that other side too,im glad bey shitnow u bitch wit one shaved side go ahead amp shave side,1
3,0,0,3,Neither,@cnnbrk let me guess they have yellow cake too? Same crap different president,77,let me guess they have yellow cake too same crap different president,let guess yellow cake crap different president,2
3,1,2,0,Offensive Language,"She must not know I got over 3,000 followers breh this bitch gotta get the fuck up outta this VIP section dawg she decreasing my value",134,she must not know i got over followers breh this bitch got to get the fuck up outta this vip section dawg she decreasing my value,must know got follower breh bitch got get fuck outta vip section dawg decreasing value,1
3,0,0,3,Neither,"mashed potatoes , string beans , yellow rice , and chicken &#128523;",68,mashed potatoes string beans yellow rice and chicken,mashed potato string bean yellow rice chicken,2
3,0,0,3,Neither,RT @DanielGennaoui: A bird that courts females by building a beautiful nest with bright objects: http://t.co/gi2rRlGRo6 &#8230; #wildlife http://&#8230;,152,a bird that courts females by building a beautiful nest with bright objects wildlife,bird court female building beautiful nest bright object wildlife,2
3,0,2,1,Offensive Language,"&#191;Como se llama el ni&#241;o m&#225;s delgado de Jap&#243;n? Yocomo Poko

&#164;&#176;&#164;&#176; gino &#176;&#164;&#176;&#164;",132,como se llama el nio ms delgado de japn yocomo poko gino,como se llama el nio m delgado de japn yocomo poko gino,1
3,0,0,3,Neither,&#9733;@&#9733;@&#9733;@&#9733;@&#9733; GRAND OPENING ! &#9733;@&#9733;@&#9733;@&#9733;@&#9733; TOP CLASS &#9733; Oriental Massage &#9733; PERFECT !&#9733; http://t.co/zibllnm1ZS,178,grand opening top class oriental massage perfect,grand opening top class oriental massage perfect,2
3,1,2,0,Offensive Language,RT @BlackkHippiee: White girls date black guys who hate black culture and they let their stupid ass white girlfriends talk shit and say nig&#8230;,146,white girls date black guys who hate black culture and they let their stupid ass white girlfriends talk shit and say nig,white girl date black guy hate black culture let stupid as white girlfriend talk shit say nig,1
6,0,6,0,Offensive Language,RT @_campkevin: Bitches be thinking they are soooo out here like no your just an everyday average Instagram bitch,113,bitches be thinking they are soooo out here like no your just an everyday average instagram bitch,bitch thinking soooo like everyday average instagram bitch,1
3,0,3,0,Offensive Language,RT @TexasHickspanic: Hey you!! Acting like a saint on twitter.. we think you're fucking weird you prude bitch.,110,hey you acting like a saint on twitter we think youre fucking weird you prude bitch,hey acting like saint twitter think youre fucking weird prude bitch,1
3,0,0,3,Neither,This 8 yr old on #masterchefjunior made my chicken look like trash.,67,this yr old on masterchefjunior made my chicken look like trash,yr old masterchefjunior made chicken look like trash,2
3,0,3,0,Offensive Language,You poor soul RT @VICD713ENT: Cuz fat bitches the only thing that I like,72,you poor soul cuz fat bitches the only thing that i like,poor soul cuz fat bitch thing like,1
3,1,2,0,Offensive Language,@AnastasiaPacana Iheinz201 stfu! she thinks your ugly and hard to look at! get the fuck out of chat faggot before i block you Oct 30th 1am,138,iheinz stfu she thinks your ugly and hard to look at get the fuck out of chat faggot before i block you oct th am,iheinz stfu think ugly hard look get fuck chat faggot block oct th,1
3,0,0,3,Neither,Permanent slit in my eyebrow from when I tumbled down the bleachers when I was little.... I stayed in the ER,108,permanent slit in my eyebrow from when i tumbled down the bleachers when i was little i stayed in the er,permanent slit eyebrow tumbled bleacher little stayed er,2
3,2,1,0,Hate Speech,hoe ass nigga &#128569;,23,hoe ass nigga,hoe as nigga,0
3,0,3,0,Offensive Language,I'm in the cut with my old boys and this bitch asks me to smoke weed with her in a fucking Yaris. The fuck? Lol hell no.,120,im in the cut with my old boys and this bitch asks me to smoke weed with her in a fucking yaris the fuck lol hell no,im cut old boy bitch asks smoke weed fucking yaris fuck lol hell,1
3,0,1,2,Neither,Supporters of officer Darren Wilson rally in St Louis http://t.co/HtfgJJ7kYt #ferguson #kkk #tcot #tpot #teabaggers #teaparty,125,supporters of officer darren wilson rally in st louis ferguson kkk tcot tpot teabaggers teaparty,supporter officer darren wilson rally st louis ferguson kkk tcot tpot teabaggers teaparty,2
3,0,3,0,Offensive Language,@HippieProblemz pussy poppin on a headstand while ur eating watermelon,70,pussy poppin on a headstand while ur eating watermelon,pussy poppin headstand ur eating watermelon,1
3,0,3,0,Offensive Language,Welp imma hoe again :/ RT @Gladvillian: She a hoe if she likes chocolate.,73,welp imma hoe again she a hoe if she likes chocolate,welp imma hoe hoe like chocolate,1
3,0,1,2,Neither,RT @Drfreezeburnn: Just spent a good twenty mins trying to teach my bird the skyrim theme song. Then I realized that he was a bird.,131,just spent a good twenty mins trying to teach my bird the skyrim theme song then i realized that he was a bird,spent good twenty min trying teach bird skyrim theme song realized bird,2
3,0,1,2,Neither,"@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat.",147,amp als je over syrie tweet volg maar zij komt er vandaan amp zal je precies uitleggen hoe of wat,amp al je syrie tweet volg maar zij komt er vandaan amp zal je precies uitleggen hoe wat,2
3,0,3,0,Offensive Language,@jazminesmazmine if bitches Tryna step to us http://t.co/xKcH9wJUAg,67,if bitches tryna step to us,bitch tryna step u,1
3,0,3,0,Offensive Language,You must be part of the cat family. . Cuz you're a fucking pussy,64,you must be part of the cat family cuz youre a fucking pussy,must part cat family cuz youre fucking pussy,1
3,0,3,0,Offensive Language,RT @laydeesweets: Exactly!! &amp; i miss you bitch! @VivaLAJuicyy69,67,exactly amp i miss you bitch,exactly amp miss bitch,1
3,1,2,0,Offensive Language,Niggas aint worried bout other niggas messin wit dey hoes. Niggas worried boit hoes messin wit dey hoes,103,niggas aint worried bout other niggas messin wit dey hoes niggas worried boit hoes messin wit dey hoes,nigga aint worried bout nigga messin wit dey hoe nigga worried boit hoe messin wit dey hoe,1
3,1,2,0,Offensive Language,@Lissette__glz @joshmtz1199 you hoes ain't loyal &#128075;,58,you hoes aint loyal,hoe aint loyal,1
3,0,3,0,Offensive Language,RT @Michelle_OKC: Got 99 cookies because a bitch ate one.,57,got cookies because a bitch ate one,got cooky bitch ate one,1
3,0,0,3,Neither,RT @AmEditing: You're responsible for the story inside you. Don't let self-doubt cripple your #creativity. #AmEditing #AmWriting #WriteTip,138,youre responsible for the story inside you dont let selfdoubt cripple your creativity amediting amwriting writetip,youre responsible story inside dont let selfdoubt cripple creativity amediting amwriting writetip,2
6,1,5,0,Offensive Language,' Have you ever had sex ina cherry red vet witha fat trap Niggah keep that pussy sooo wet &#1043359;&#1043291;&#1041185; .,122,have you ever had sex ina cherry red vet witha fat trap niggah keep that pussy sooo wet,ever sex ina cherry red vet witha fat trap niggah keep pussy sooo wet,1
3,0,3,0,Offensive Language,Sloppy ignorance in all my pockets &#128176;&#128176;&#128176;Come here lil bitch I want sloppy toppy &#128069;&#128166;,120,sloppy ignorance in all my pockets come here lil bitch i want sloppy toppy,sloppy ignorance pocket come lil bitch want sloppy toppy,1
3,0,3,0,Offensive Language,@AaronKeplin shut up bitch,26,shut up bitch,shut bitch,1
3,0,3,0,Offensive Language,This bitch almost lost her life,31,this bitch almost lost her life,bitch almost lost life,1
3,0,0,3,Neither,Can't beat a score of 12 on flappy bird #givingup,49,cant beat a score of on flappy bird givingup,cant beat score flappy bird givingup,2
3,0,3,0,Offensive Language,"Y'all can say ""Imma make it way farther than you.""all you want but aye I'm gonna have fun bitch so SUCK A DIIICCCKKK!!",118,yall can say imma make it way farther than youall you want but aye im going to have fun bitch so suck a diiiccckkk,yall say imma make way farther youall want aye im going fun bitch suck diiiccckkk,1
3,0,3,0,Offensive Language,Cuz they dont wanna b saved RT @Gladvillian: Why is saving hoes bad?,68,cuz they dont want to b saved why is saving hoes bad,cuz dont want b saved saving hoe bad,1
3,0,3,0,Offensive Language,@b_shiznitt @italian_montana wtf you bitches seen this without me,65,wtf you bitches seen this without me,wtf bitch seen without,1
3,0,1,2,Neither,&#8220;@zt0mm: Traded in my nikes for a new mic.. I guess it's safe to say he sold soles for his new life ... -bada$$&#8221;,124,traded in my nikes for a new mic i guess its safe to say he sold soles for his new life bada,traded nike new mic guess safe say sold sol new life bada,2
3,0,3,0,Offensive Language,"It's really a bitch when you're trying to make a difference to someone else, and they intentionally make a point to make you feel like shit.",140,its really a bitch when youre trying to make a difference to someone else and they intentionally make a point to make you feel like shit,really bitch youre trying make difference someone else intentionally make point make feel like shit,1
3,2,1,0,Hate Speech,As soon as we left Iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up. Pisses me off.,140,as soon as we left iraq all these towel heads think they can fucking barge in and take over what we worked so hard to set up pisses me off,soon left iraq towel head think fucking barge take worked hard set piss,0
3,0,3,0,Offensive Language,"@Toetancchamon Wilde nog even checken op Twitter hoe het ging maar had zo'n heftige wond niet verwacht, heftig. Sterkte &amp; beterschap hoor!",142,wilde nog even checken op twitter hoe het ging maar had zon heftige wond niet verwacht heftig sterkte amp beterschap hoor,wilde nog even checken op twitter hoe het ging maar zon heftige wond niet verwacht heftig sterkte amp beterschap hoor,1
3,2,0,1,Hate Speech,"Gotta love rednecks. Loud, stupid, stubborn, and full o schitt.",63,got to love rednecks loud stupid stubborn and full o schitt,got love redneck loud stupid stubborn full schitt,0
6,0,5,1,Offensive Language,RT @CjayyTaughtHer: A boyfriend and girlfriend suppose to laugh at these hoes together. A guy should never have these hoes laughing at his &#8230;,146,a boyfriend and girlfriend suppose to laugh at these hoes together a guy should never have these hoes laughing at his,boyfriend girlfriend suppose laugh hoe together guy never hoe laughing,1
3,0,3,0,Offensive Language,"I will literally never get home, this shit is retarded",54,i will literally never get home this shit is retarded,literally never get home shit retarded,1
3,0,3,0,Offensive Language,LMFAO @jdellasperanza I found my diary me complaining about you being a bitch &#128514; tbt I'm DEAD http://t.co/pl7qsAS15b,123,lmfao i found my diary me complaining about you being a bitch tbt im dead,lmfao found diary complaining bitch tbt im dead,1
3,0,0,3,Neither,"@mesmart029 Someone recently told me that a local yokel was going to ""use my twitter account to damage me"" so... Yeah.",118,someone recently told me that a local yokel was going to use my twitter account to damage me so yeah,someone recently told local yokel going use twitter account damage yeah,2
3,0,3,0,Offensive Language,"Dem hoes more &#128686; &#8220;@LeanandCuisine: This nigga out here fucking retired widows &#8220;@Irsuns: New Race, fuck Black Woman http://t.co/tCSiJi6a0D&#8221;&#8221;",170,dem hoes more this nigga out here fucking retired widows new race fuck black woman,dem hoe nigga fucking retired widow new race fuck black woman,1
3,0,3,0,Offensive Language,RT @11_MeLoBaby_7: @100granHman it ain't nothin to cut that bitch off ayeeee,76,it aint nothin to cut that bitch off ayeeee,aint nothin cut bitch ayeeee,1
3,0,3,0,Offensive Language,"RT @BoujieAssMeena: I always text my besties like ""bitch call me I got the scoop&#128064;"" &#128553;&#128553;&#128553;&#128514;&#128514;&#128514;&#128514;",154,i always text my besties like bitch call me i got the scoop,always text besties like bitch call got scoop,1
3,0,3,0,Offensive Language,Every one of then would just be adding me to their collections of hoes,70,every one of then would just be adding me to their collections of hoes,every one would adding collection hoe,1
3,1,2,0,Offensive Language,fuckin twats. &#128150;&#127800; http://t.co/tBQjheV08b,55,fuckin twats,fuckin twat,1
3,0,3,0,Offensive Language,@buffprobzzz the dude took off running like a bitch!,52,the dude took off running like a bitch,dude took running like bitch,1
3,0,3,0,Offensive Language,"dont trust a hoe
never trust a hoe",34,dont trust a hoe never trust a hoe,dont trust hoe never trust hoe,1
3,0,2,1,Offensive Language,"If yo name wus in this song you wus a hoe then, &amp; a overgrown THOT now.... http://t.co/1RbJoHBEN6",101,if yo name wus in this song you wus a hoe then amp a overgrown thot now,yo name wu song wu hoe amp overgrown thot,1
3,0,3,0,Offensive Language,@_BeautifulKeezy lmfao bitch was I talking to you &#128514;&#128514;,68,lmfao bitch was i talking to you,lmfao bitch talking,1
3,0,3,0,Offensive Language,RT @DailyRapFacts: .@YG is the voice behind @DJmustard&#8217;s &#8220;Mustard on the beat hoe,93,is the voice behind s mustard on the beat hoe,voice behind mustard beat hoe,1
3,1,2,0,Offensive Language,Clowney is a bitch nigga get his ass off my team,48,clowney is a bitch nigga get his ass off my team,clowney bitch nigga get as team,1
6,1,5,0,Offensive Language,@GorgeousCamry_ bitch fck all lay wat you wanna do,50,bitch fck all lay wat you want to do,bitch fck lay wat want,1
3,0,3,0,Offensive Language,When it come to bitches.... niggas will get dirty,49,when it come to bitches niggas will get dirty,come bitch nigga get dirty,1
3,0,3,0,Offensive Language,@rlfclifestyle wtf that bitch was driving around drunk,54,wtf that bitch was driving around drunk,wtf bitch driving around drunk,1
3,1,2,0,Offensive Language,need to get the sheriff Rick in here to show these pussy ass police officers who is boss.,89,need to get the sheriff rick in here to show these pussy ass police officers who is boss,need get sheriff rick show pussy as police officer bos,1
3,0,3,0,Offensive Language,RT @geechiegal843: I act like ion ee kno dat bitch &#128129;&#128526;,69,i act like ion ee kno dat bitch,act like ion ee kno dat bitch,1
3,0,3,0,Offensive Language,I got a missed call from your bitch &#128514;,45,i got a missed call from your bitch,got missed call bitch,1
3,0,3,0,Offensive Language,It's hard being a real nigga when these niggas got bitch tendencies,67,its hard being a real nigga when these niggas got bitch tendencies,hard real nigga nigga got bitch tendency,1
3,0,3,0,Offensive Language,RT @FunnySayings: &#8220;you&#8217;re a bitch&#8221; that&#8217;s new information thanks,88,youre a bitch thats new information thanks,youre bitch thats new information thanks,1
3,0,0,3,Neither,RT @OGMarcusC: !!!! &#8220;@RapAboutCereal: Jay Z verse trash. http://t.co/eYb3B08BTM&#8221;,92,jay z verse trash,jay z verse trash,2
6,0,6,0,Offensive Language,pull out my bank roll on y'all bitches like whoa,48,pull out my bank roll on yall bitches like whoa,pull bank roll yall bitch like whoa,1
3,1,2,0,Offensive Language,"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",123,wow im lost are those buttcheek piercings yeah shes a hoe,wow im lost buttcheek piercings yeah shes hoe,1
3,0,3,0,Offensive Language,Keep it realer than the next bitch no need for u to ever sweat the next bitch indeed&#8252;&#65039;,99,keep it realer than the next bitch no need for u to ever sweat the next bitch indeed,keep realer next bitch need u ever sweat next bitch indeed,1
3,1,2,0,Offensive Language,Paula Patton pussy got a nigga on stage on his knees talmbout he gotta get her back tonight,91,paula patton pussy got a nigga on stage on his knees talmbout he got to get her back tonight,paula patton pussy got nigga stage knee talmbout got get back tonight,1
3,0,3,0,Offensive Language,@YFN_NESHA I'm tired of dat bitch mannn&#128553;&#128553;&#128553;,66,im tired of dat bitch mannn,im tired dat bitch mannn,1
3,0,2,1,Offensive Language,bitch you better not disappoint me. madonna and britney and xtima have RT @gwenstefani: My new single #BabyDontLie is coming Monday!!,133,bitch you better not disappoint me madonna and britney and xtima have my new single babydontlie is coming monday,bitch better disappoint madonna britney xtima new single babydontlie coming monday,1
3,2,1,0,Hate Speech,&#8220;@FreddieGibbs: Tea bag a bitch.&#8221; Pahahaha,54,tea bag a bitch pahahaha,tea bag bitch pahahaha,0
3,0,3,0,Offensive Language,@ThatSlutAdrian bitch ask a day off,35,bitch ask a day off,bitch ask day,1
3,0,3,0,Offensive Language,Plot twist: these hoes are loyal.,33,plot twist these hoes are loyal,plot twist hoe loyal,1
3,0,3,0,Offensive Language,"RT @__prvncesssss: ""@lilnas_: Niggas bitches getting exposed&#128514;&#128514;&#128514;&#128553;""&#128555;&#128555;&#128555;&#128555;&#128555;",142,niggas bitches getting exposed,nigga bitch getting exposed,1
3,0,2,1,Offensive Language,Someone came up &amp; told me that I pulled hoes today. I was pissed just because thats so fucking false that its sad.,118,someone came up amp told me that i pulled hoes today i was pissed just because thats so fucking false that its sad,someone came amp told pulled hoe today pissed thats fucking false sad,1
3,1,2,0,Offensive Language,"RT @Kerb_215: 1,2,3,4 how many niggers are in my store I knowwwww your stealing &#128514;&#128514;&#128514;, that vine still be having me weak",142,how many niggers are in my store i kno your stealing that vine still be having me weak,many nigger store kno stealing vine still weak,1
3,0,3,0,Offensive Language,"' I hate a "" Guesss who just tried to talk to mee "" ass bitch &#1041190;&#9995;&#9996;&#65039;",94,i hate a guesss who just tried to talk to mee ass bitch,hate guess tried talk mee as bitch,1
3,0,3,0,Offensive Language,"Let's see how this goes &#128527; lol I'm using my coupon haha kik, dm, text, or if ya down tweet that hoe lolololol http://t.co/BHZRswkIY1",139,lets see how this goes lol im using my coupon haha kik dm text or if ya down tweet that hoe lolololol,let see go lol im using coupon haha kik dm text ya tweet hoe lolololol,1
3,1,2,0,Offensive Language,"RT @omfgmeezy: she stole my shit, what a little niglet.",55,she stole my shit what a little niglet,stole shit little niglet,1
3,0,3,0,Offensive Language,RT @the_ironsheik: Alex Rodriguez you lucky only the Ryan Dempster hit you. I going to get my camel to break your neck you son of a bitch,137,alex rodriguez you lucky only the ryan dempster hit you i going to get my camel to break your neck you son of a bitch,alex rodriguez lucky ryan dempster hit going get camel break neck son bitch,1
6,0,6,0,Offensive Language,You hoes steady coming for me &#128514;&#128514;&#128514;,57,you hoes steady coming for me,hoe steady coming,1
3,0,1,2,Neither,"See me ride out of that sunset, on your, colored TV screen #TNT #ACDC",69,see me ride out of that sunset on your colored tv screen tnt acdc,see ride sunset colored tv screen tnt acdc,2
3,0,3,0,Offensive Language,RT @KillAllSimps: That's logic for a hoe RT @_flowaaabomb: If you single nobody can tell you what to do right? Right?,117,thats logic for a hoe if you single nobody can tell you what to do right right,thats logic hoe single nobody tell right right,1
6,0,6,0,Offensive Language,This bitch just texted me Baby Baby you miss me,47,this bitch just texted me baby baby you miss me,bitch texted baby baby miss,1
3,1,2,0,Offensive Language,@iH8TvvitterHoes @breezyfrmdablok tell me how that sounds stupid? You were pretending to be a female and talking to a guy. You a faggot,135,tell me how that sounds stupid you were pretending to be a female and talking to a guy you a faggot,tell sound stupid pretending female talking guy faggot,1
3,3,0,0,Hate Speech,Anyone who came to the US as an indentured servant is white trash.,66,anyone who came to the us as an indentured servant is white trash,anyone came u indentured servant white trash,0
3,0,3,0,Offensive Language,RT @lildurk_: No time to play wit bitches,41,no time to play wit bitches,time play wit bitch,1
3,0,3,0,Offensive Language,This bitch is tryna start shit at Denny's asking us if we took a picture of them lmfao BITCH WHUT,97,this bitch is tryna start shit at dennys asking us if we took a picture of them lmfao bitch whut,bitch tryna start shit dennys asking u took picture lmfao bitch whut,1
3,0,0,3,Neither,"under my windoowww &#8220;@brettcanfly: Bleaching your teeth, smiling flash, talking trash, under your breath&#8221;",116,under my windoowww bleaching your teeth smiling flash talking trash under your breath,windoowww bleaching teeth smiling flash talking trash breath,2
3,0,3,0,Offensive Language,@MikeyDJaro haha 1. I would go for the S 2. Those fag colors are reserved for @JoeyTaormina,91,haha i would go for the s those fag colors are reserved for,haha would go fag color reserved,1
